DATE,BXM
02/24/2003,520.580000
02/25/2003,522.860000
02/26/2003,519.600000
02/27/2003,524.090000
02/28/2003,525.850000
03/03/2003,524.610000
03/04/2003,519.690000
03/05/2003,523.760000
03/06/2003,520.850000
03/07/2003,524.070000
03/10/2003,506.470000
03/11/2003,503.320000
03/12/2003,505.520000
03/13/2003,518.840000
03/14/2003,520.350000
03/17/2003,527.810000
03/18/2003,529.530000
03/19/2003,530.840000
03/20/2003,531.280000
03/21/2003,531.600000
03/24/2003,521.690000
03/25/2003,526.700000
03/26/2003,525.560000
03/27/2003,525.350000
03/28/2003,523.740000
03/31/2003,517.200000
04/01/2003,522.640000
04/02/2003,531.650000
04/03/2003,530.650000
04/04/2003,531.020000
04/07/2003,533.050000
04/08/2003,533.800000
04/09/2003,529.070000
04/10/2003,532.530000
04/11/2003,531.950000
04/14/2003,540.350000
04/15/2003,543.330000
04/16/2003,540.330000
04/17/2003,545.750000
04/21/2003,545.670000
04/22/2003,550.460000
04/23/2003,552.260000
04/24/2003,551.390000
04/25/2003,549.070000
04/28/2003,552.420000
04/29/2003,553.390000
04/30/2003,554.320000
05/01/2003,553.770000
05/02/2003,555.640000
05/05/2003,555.830000
05/06/2003,556.230000
05/07/2003,556.400000
05/08/2003,556.130000
05/09/2003,557.230000
05/12/2003,557.430000
05/13/2003,557.570000
05/14/2003,557.910000
05/15/2003,557.790000
05/16/2003,557.480000
05/19/2003,548.890000
05/20/2003,548.330000
05/21/2003,550.090000
05/22/2003,554.100000
05/23/2003,555.340000
05/27/2003,560.800000
05/28/2003,561.360000
05/29/2003,560.870000
05/30/2003,563.760000
06/02/2003,564.810000
06/03/2003,565.450000
06/04/2003,567.540000
06/05/2003,568.000000
06/06/2003,568.230000
06/09/2003,567.500000
06/10/2003,568.660000
06/11/2003,569.430000
06/12/2003,569.350000
06/13/2003,569.600000
06/16/2003,570.130000
06/17/2003,570.390000
06/18/2003,570.440000
06/19/2003,570.510000
06/20/2003,567.790000
06/23/2003,562.600000
06/24/2003,563.120000
06/25/2003,559.950000
06/26/2003,565.260000
06/27/2003,561.810000
06/30/2003,561.310000
07/01/2003,565.230000
07/02/2003,569.730000
07/03/2003,566.720000
07/07/2003,574.110000
07/08/2003,575.720000
07/09/2003,574.610000
07/10/2003,569.950000
07/11/2003,574.600000
07/14/2003,577.050000
07/15/2003,576.510000
07/16/2003,574.560000
07/17/2003,568.450000
07/18/2003,573.250000
07/21/2003,569.000000
07/22/2003,572.300000
07/23/2003,573.190000
07/24/2003,570.980000
07/25/2003,576.450000
07/28/2003,576.000000
07/29/2003,574.530000
07/30/2003,574.270000
07/31/2003,575.150000
08/01/2003,571.560000
08/04/2003,573.320000
08/05/2003,566.330000
08/06/2003,568.000000
08/07/2003,571.850000
08/08/2003,573.930000
08/11/2003,575.720000
08/12/2003,579.950000
08/13/2003,578.860000
08/14/2003,582.480000
08/15/2003,584.290000
08/18/2003,587.330000
08/19/2003,588.080000
08/20/2003,587.960000
08/21/2003,588.690000
08/22/2003,586.140000
08/25/2003,586.710000
08/26/2003,587.690000
08/27/2003,588.340000
08/28/2003,590.330000
08/29/2003,591.630000
09/02/2003,594.110000
09/03/2003,594.930000
09/04/2003,595.700000
09/05/2003,596.010000
09/08/2003,596.760000
09/09/2003,596.000000
09/10/2003,594.890000
09/11/2003,596.270000
09/12/2003,596.920000
09/15/2003,597.040000
09/16/2003,598.250000
09/17/2003,598.150000
09/18/2003,597.890000
09/19/2003,595.470000
09/22/2003,590.960000
09/23/2003,593.330000
09/24/2003,585.640000
09/25/2003,582.940000
09/26/2003,580.380000
09/29/2003,585.700000
09/30/2003,580.580000
10/01/2003,591.220000
10/02/2003,592.180000
10/03/2003,596.370000
10/06/2003,598.710000
10/07/2003,600.290000
10/08/2003,599.100000
10/09/2003,601.240000
10/10/2003,601.510000
10/13/2003,603.930000
10/14/2003,605.060000
10/15/2003,605.640000
10/16/2003,606.300000
10/17/2003,600.010000
10/20/2003,602.690000
10/21/2003,603.480000
10/22/2003,598.100000
10/23/2003,599.820000
10/24/2003,598.200000
10/27/2003,599.620000
10/28/2003,605.120000
10/29/2003,605.860000
10/30/2003,605.950000
10/31/2003,607.460000
11/03/2003,609.230000
11/04/2003,608.230000
11/05/2003,607.880000
11/06/2003,609.720000
11/07/2003,609.010000
11/10/2003,608.320000
11/11/2003,608.620000
11/12/2003,612.000000
11/13/2003,612.180000
11/14/2003,608.110000
11/17/2003,609.810000
11/18/2003,606.010000
11/19/2003,611.060000
11/20/2003,607.760000
11/21/2003,608.090000
11/24/2003,613.570000
11/25/2003,613.880000
11/26/2003,615.460000
11/28/2003,614.810000
12/01/2003,617.030000
12/02/2003,616.920000
12/03/2003,616.570000
12/04/2003,617.200000
12/05/2003,616.480000
12/08/2003,618.520000
12/09/2003,617.700000
12/10/2003,617.980000
12/11/2003,618.570000
12/12/2003,619.070000
12/15/2003,618.970000
12/16/2003,619.390000
12/17/2003,619.730000
12/18/2003,619.770000
12/19/2003,617.830000
12/22/2003,619.200000
12/23/2003,620.660000
12/24/2003,619.840000
12/26/2003,620.360000
12/29/2003,624.290000
12/30/2003,624.170000
12/31/2003,625.380000
01/02/2004,624.310000
01/05/2004,627.330000
01/06/2004,627.790000
01/07/2004,628.390000
01/08/2004,629.560000
01/09/2004,627.920000
01/12/2004,628.670000
01/13/2004,628.690000
01/14/2004,629.630000
01/15/2004,629.370000
01/16/2004,628.270000
01/20/2004,628.300000
01/21/2004,631.100000
01/22/2004,630.170000
01/23/2004,630.160000
01/26/2004,633.220000
01/27/2004,631.050000
01/28/2004,625.980000
01/29/2004,628.430000
01/30/2004,628.130000
02/02/2004,629.590000
02/03/2004,630.050000
02/04/2004,627.200000
02/05/2004,628.240000
02/06/2004,633.280000
02/09/2004,633.430000
02/10/2004,635.060000
02/11/2004,636.810000
02/12/2004,636.370000
02/13/2004,635.630000
02/17/2004,637.680000
02/18/2004,637.730000
02/19/2004,637.760000
02/20/2004,633.570000
02/23/2004,633.460000
02/24/2004,633.210000
02/25/2004,635.170000
02/26/2004,635.970000
02/27/2004,636.500000
03/01/2004,639.410000
03/02/2004,638.000000
03/03/2004,638.780000
03/04/2004,639.750000
03/05/2004,640.310000
03/08/2004,638.860000
03/09/2004,636.720000
03/10/2004,629.930000
03/11/2004,621.560000
03/12/2004,629.840000
03/15/2004,621.230000
03/16/2004,624.840000
03/17/2004,632.380000
03/18/2004,631.620000
03/19/2004,625.460000
03/22/2004,621.010000
03/23/2004,621.070000
03/24/2004,620.400000
03/25/2004,628.920000
03/26/2004,628.750000
03/29/2004,634.250000
03/30/2004,635.800000
03/31/2004,635.580000
04/01/2004,637.020000
04/02/2004,639.990000
04/05/2004,641.610000
04/06/2004,641.660000
04/07/2004,640.170000
04/08/2004,640.750000
04/12/2004,642.010000
04/13/2004,639.870000
04/14/2004,641.370000
04/15/2004,642.580000
04/16/2004,642.430000
04/19/2004,643.560000
04/20/2004,637.040000
04/21/2004,639.800000
04/22/2004,645.310000
04/23/2004,646.320000
04/26/2004,644.900000
04/27/2004,645.460000
04/28/2004,640.210000
04/29/2004,636.810000
04/30/2004,634.000000
05/03/2004,639.210000
05/04/2004,640.250000
05/05/2004,641.590000
05/06/2004,638.010000
05/07/2004,630.600000
05/10/2004,624.430000
05/11/2004,629.360000
05/12/2004,630.570000
05/13/2004,630.270000
05/14/2004,629.950000
05/17/2004,623.440000
05/18/2004,627.800000
05/19/2004,626.280000
05/20/2004,626.600000
05/21/2004,629.630000
05/24/2004,631.310000
05/25/2004,636.510000
05/26/2004,637.070000
05/27/2004,638.900000
05/28/2004,638.810000
06/01/2004,639.170000
06/02/2004,639.820000
06/03/2004,638.920000
06/04/2004,640.210000
06/07/2004,642.500000
06/08/2004,642.690000
06/09/2004,642.430000
06/10/2004,642.910000
06/14/2004,642.670000
06/15/2004,642.710000
06/16/2004,643.460000
06/17/2004,644.010000
06/18/2004,647.390000
06/21/2004,646.300000
06/22/2004,648.050000
06/23/2004,651.050000
06/24/2004,650.030000
06/25/2004,647.300000
06/28/2004,648.120000
06/29/2004,649.450000
06/30/2004,651.890000
07/01/2004,648.120000
07/02/2004,647.130000
07/06/2004,643.250000
07/07/2004,644.840000
07/08/2004,640.130000
07/09/2004,642.360000
07/12/2004,643.400000
07/13/2004,643.870000
07/14/2004,641.860000
07/15/2004,639.190000
07/16/2004,637.570000
07/19/2004,637.960000
07/20/2004,641.110000
07/21/2004,635.340000
07/22/2004,637.320000
07/23/2004,633.080000
07/26/2004,632.330000
07/27/2004,637.260000
07/28/2004,637.780000
07/29/2004,640.200000
07/30/2004,641.080000
08/02/2004,643.220000
08/03/2004,640.890000
08/04/2004,640.760000
08/05/2004,632.480000
08/06/2004,623.740000
08/09/2004,624.650000
08/10/2004,632.680000
08/11/2004,631.160000
08/12/2004,623.950000
08/13/2004,624.960000
08/16/2004,633.560000
08/17/2004,635.020000
08/18/2004,642.880000
08/19/2004,640.850000
08/20/2004,643.650000
08/23/2004,643.490000
08/24/2004,644.520000
08/25/2004,646.950000
08/26/2004,646.880000
08/27/2004,647.720000
08/30/2004,643.600000
08/31/2004,647.430000
09/01/2004,648.630000
09/02/2004,650.660000
09/03/2004,650.440000
09/07/2004,651.880000
09/08/2004,651.800000
09/09/2004,652.530000
09/10/2004,653.040000
09/13/2004,652.990000
09/14/2004,653.060000
09/15/2004,653.010000
09/16/2004,654.090000
09/17/2004,654.810000
09/20/2004,652.960000
09/21/2004,655.640000
